"","IaStar1","EaStar1"
"1",8.59690451786778e-06,5.42436805749897e-06
"2",1.21874234631301e-05,8.14811762413715e-06
"3",8.91066597004452e-06,5.54186433416514e-06
"4",7.12827213135637e-06,5.31795320805151e-06
"5",1.33833054623382e-05,9.04469409050637e-06
"6",1.02451643860522e-05,6.37845408063347e-06
"7",5.70060202865161e-06,3.89835349615846e-06
"8",9.24413054208373e-06,6.44322797538416e-06
"9",9.06738955148737e-06,6.2422263284285e-06
"10",1.19074988073157e-05,7.68453001863791e-06
"11",3.86620455554666e-06,2.86469616556496e-06
"12",9.3271915100019e-06,6.33190237652289e-06
"13",1.3360011363568e-05,8.43278606830811e-06
"14",2.76935820701511e-05,1.57384095942759e-05
"15",9.5790438063088e-06,6.88066798883499e-06
"16",9.51448512874573e-06,6.25588933324669e-06
"17",8.29505684164206e-06,5.46546540795983e-06
"18",5.75105493565492e-06,4.07271673532238e-06
"19",6.61372029919574e-06,4.63930589853135e-06
"20",6.57720747201715e-06,4.53414348780029e-06
"21",7.75862594736321e-06,5.48379375869372e-06
"22",1.19896690957071e-05,8.38506179130078e-06
"23",1.62968521575375e-05,1.08088203969131e-05
"24",2.91374815652225e-05,1.67956493437666e-05
"25",7.40131136353876e-06,5.11231036873379e-06
"26",6.84427523740991e-06,4.49655218666082e-06
"27",8.33845257029309e-06,5.43901165503439e-06
"28",1.36203083288684e-05,8.11813513999323e-06
"29",1.30608036925476e-05,8.32667323754202e-06
"30",1.69106744864487e-05,1.15042069391143e-05
"31",3.45664712010961e-06,2.52965683018685e-06
"32",7.62605241186106e-06,4.99332283779605e-06
"33",8.29439767227293e-06,5.62986175352189e-06
"34",9.75244752969415e-06,6.40823971360118e-06
"35",1.61691040236266e-05,9.69687902957041e-06
"36",9.29273641765901e-06,5.95077426375458e-06
"37",1.72170836433141e-05,1.10413825995895e-05
"38",1.17932860856565e-05,7.74617030208734e-06
"39",3.8071005930981e-06,2.72928437128163e-06
"40",6.79155781992464e-06,4.74280541416456e-06
"41",1.20348197899422e-05,7.8451664113589e-06
"42",1.57877380745916e-05,1.02264294707716e-05
"43",4.77564263352956e-06,3.31813347558892e-06
"44",1.45992831184613e-05,1.00359921883511e-05
"45",8.56750150190603e-06,5.38253507796274e-06
"46",1.45612656410714e-05,9.1362842304253e-06
"47",6.83613250265096e-06,4.63206996311784e-06
"48",5.70227423211343e-06,3.9837567023068e-06
"49",8.91223313074946e-06,5.83146184413872e-06
"50",5.8038903273723e-06,4.09014187416411e-06
"51",7.27287577924382e-06,4.94034867084019e-06
"52",1.08402511517067e-05,6.84670473353801e-06
"53",6.04183220694573e-06,4.0867145413021e-06
"54",1.678155919042e-05,1.02314033085259e-05
"55",2.68813744846602e-06,1.97909039682568e-06
"56",5.10377598304513e-06,3.93190070386232e-06
"57",1.07633645641694e-05,6.91579647982777e-06
"58",1.1831641669028e-05,7.25500972336785e-06
"59",6.46610146222101e-06,4.44938915670338e-06
"60",6.6796887360128e-06,4.36352732937946e-06
"61",1.63021952529597e-06,1.30240687584082e-06
"62",1.30022320476053e-05,8.55264804847692e-06
"63",7.08361391773269e-06,4.91900357938462e-06
"64",8.19915018687691e-06,5.41963724574411e-06
"65",2.95836253250537e-05,1.85161423562731e-05
"66",1.1045157973564e-05,7.38723381737029e-06
"67",3.2950986656803e-05,1.92186149261326e-05
"68",7.85852128291584e-06,5.80097450596895e-06
"69",9.12564159583741e-06,6.08750054180441e-06
"70",3.05189009770287e-06,2.39008800289237e-06
"71",1.05945812572335e-05,7.23860651106935e-06
"72",2.78167087796431e-05,1.74502934352383e-05
"73",1.11509558444483e-05,7.69698079219892e-06
"74",2.52098528504495e-05,1.55739753083684e-05
"75",2.02604796516659e-05,1.22503146717329e-05
"76",1.80433065655088e-05,1.21595980247e-05
"77",8.43450022233628e-06,5.39043968304378e-06
"78",1.09187797904514e-05,7.20322150466445e-06
"79",9.07048060972816e-06,6.01586089876957e-06
"80",1.81413222382308e-05,1.14760108327971e-05
"81",1.3737470820626e-05,8.70281132856692e-06
"82",1.30439663040366e-05,8.52093538730479e-06
"83",9.68728073174102e-06,6.98777122315464e-06
"84",2.08951597071841e-05,1.24111901902952e-05
"85",5.7849234167989e-06,3.98797851699119e-06
"86",1.25826395926615e-05,8.50576612392227e-06
"87",4.70672203184389e-06,3.3644176234761e-06
"88",8.23056539509626e-06,5.31206742783241e-06
"89",7.50617125954933e-06,5.08814145738881e-06
"90",6.92540434732506e-06,4.65870153973198e-06
