"","IaStar","EaStar"
"1",4.65201721067082e-06,3.45145561251658e-06
"2",6.73275832809555e-06,5.2483523257487e-06
"3",4.87400989387993e-06,3.57213799018589e-06
"4",4.45729208148354e-06,3.81987977258385e-06
"5",7.71295869492901e-06,6.06837301615286e-06
"6",5.62865117964188e-06,4.12884629188534e-06
"7",3.20224268893325e-06,2.54516903634885e-06
"8",5.58486315566675e-06,4.51238158984832e-06
"9",5.2257401277565e-06,4.1773783378366e-06
"10",6.58472845373175e-06,4.98010402791802e-06
"11",2.35964595743993e-06,2.01022270840628e-06
"12",5.47027459315384e-06,4.32055361690259e-06
"13",7.24041295017347e-06,5.37349974680531e-06
"14",1.45154116301604e-05,9.85980183981299e-06
"15",5.61238543047863e-06,4.65414416076772e-06
"16",5.28312033749356e-06,4.0599246827835e-06
"17",4.64456846540757e-06,3.57557956341164e-06
"18",3.43376760989677e-06,2.81269417829834e-06
"19",3.81081679904388e-06,3.09600652002143e-06
"20",3.81057265780624e-06,3.04971932770459e-06
"21",4.59912951409002e-06,3.76097742761733e-06
"22",6.830530665475e-06,5.53488882825454e-06
"23",9.36835354388834e-06,7.25300788222343e-06
"24",1.51791623328691e-05,1.04339540079156e-05
"25",4.32039831769471e-06,3.46361757418435e-06
"26",3.78810876880996e-06,2.9090360595476e-06
"27",4.81554693984543e-06,3.67541591398327e-06
"28",7.14874584520128e-06,5.05409703981118e-06
"29",7.37815851822476e-06,5.52247195218594e-06
"30",9.99908378230045e-06,7.91177270021855e-06
"31",2.16740391381205e-06,1.82665094922879e-06
"32",4.16406258537524e-06,3.18854972124703e-06
"33",4.86149097033975e-06,3.83918653294417e-06
"34",5.40133743867132e-06,4.14849325389251e-06
"35",8.7201756610792e-06,6.19721600897682e-06
"36",4.97800798397759e-06,3.74011386750785e-06
"37",9.27853346894603e-06,6.9798971364327e-06
"38",6.52121573496754e-06,5.00691048714398e-06
"39",2.21452664159888e-06,1.83330074745259e-06
"40",3.84793207214417e-06,3.11412154416259e-06
"41",6.93266561079688e-06,5.28845520872436e-06
"42",8.86321265731343e-06,6.72454394366621e-06
"43",2.85079867136982e-06,2.29706638540846e-06
"44",8.36735665918917e-06,6.68040827321206e-06
"45",4.55309902929238e-06,3.36569326269595e-06
"46",7.69649121151845e-06,5.68305234323911e-06
"47",3.98002801878951e-06,3.13843193934084e-06
"48",3.23579657997046e-06,2.61965169041076e-06
"49",4.85288451153709e-06,3.71381507893407e-06
"50",3.40281182972169e-06,2.77561586088092e-06
"51",4.27568285957865e-06,3.37882812456017e-06
"52",5.89055624431964e-06,4.37407928839274e-06
"53",3.49372207197154e-06,2.75082412821445e-06
"54",9.05398635610118e-06,6.52466845444842e-06
"55",1.60356537089645e-06,1.35852477632043e-06
"56",3.32281841759806e-06,2.92855813682834e-06
"57",5.84624712899053e-06,4.40508972996423e-06
"58",6.54311466334277e-06,4.73817118661443e-06
"59",3.72001209533971e-06,2.9725458337313e-06
"60",3.61334286661136e-06,2.76135981148609e-06
"61",1.03974477500733e-06,9.46036577491654e-07
"62",7.23171407729053e-06,5.55930942817649e-06
"63",4.21967771931509e-06,3.39844032142797e-06
"64",4.65009502817443e-06,3.58968146347807e-06
"65",1.66210823340203e-05,1.22472239828094e-05
"66",6.1108380563234e-06,4.76510978270102e-06
"67",1.6859952154319e-05,1.17043068216909e-05
"68",4.73234455617001e-06,4.0184002446382e-06
"69",4.99706673407966e-06,3.88789431657806e-06
"70",1.95612093377917e-06,1.74898548968378e-06
"71",5.93082976846927e-06,4.71023968353938e-06
"72",1.46923387517524e-05,1.08471849951345e-05
"73",6.4920334596466e-06,5.20149423762673e-06
"74",1.34012830959493e-05,9.76594966320307e-06
"75",1.05441046914499e-05,7.54536114818833e-06
"76",1.0284389567697e-05,8.07189854323515e-06
"77",4.48133336385945e-06,3.36123846913639e-06
"78",6.14439005957941e-06,4.73528756159562e-06
"79",5.21387718930902e-06,4.03655208867073e-06
"80",9.9224647253e-06,7.37783508693565e-06
"81",7.55934831088533e-06,5.62768334734272e-06
"82",7.05582644754734e-06,5.3920938327498e-06
"83",5.76403071425402e-06,4.79736522459068e-06
"84",1.08003843719502e-05,7.61355242253904e-06
"85",3.35159836271655e-06,2.68239584565647e-06
"86",7.25877138629828e-06,5.71228528425356e-06
"87",2.90918622557172e-06,2.40231883068825e-06
"88",4.55301104066026e-06,3.44374466456639e-06
"89",4.37702582857946e-06,3.45268527896527e-06
