"","Ia",""
"1",3.97474831503721e-05,5.63009372347943e-05
"2",2.96808592656339e-05,4.20420494132498e-05
"3",4.34041063617434e-05,6.14803762351637e-05
"4",1.79978490973273e-05,2.54937140309124e-05
"5",2.91879593407536e-05,4.13438714119301e-05
"6",4.33537722944191e-05,6.14090798300401e-05
"7",2.66573114091327e-05,3.77593546852327e-05
"8",2.57851324496398e-05,3.6523937130524e-05
"9",2.63571303162969e-05,3.73341564250014e-05
"10",3.59846205388853e-05,5.09709666440935e-05
"11",1.83025472141912e-05,2.59253148572283e-05
"12",2.89781249351017e-05,4.10466472523132e-05
"13",3.97304208184271e-05,5.62767690253018e-05
"14",6.74528343705425e-05,9.55444021839844e-05
"15",2.10782764418445e-05,2.98569737919005e-05
"16",3.2665891845954e-05,4.62701963423957e-05
"17",3.25696261198532e-05,4.61338389893545e-05
"18",2.32985088110596e-05,3.30017830900185e-05
"19",2.37263764706447e-05,3.36078473456081e-05
"20",2.62946451455982e-05,3.72456478992e-05
"21",2.3386443784585e-05,3.31263408667119e-05
"22",2.38597095247002e-05,3.3796710411154e-05
"23",3.22605452170014e-05,4.5696035678417e-05
"24",6.21055968850284e-05,8.79702562909969e-05
"25",2.62046946924094e-05,3.71182355559925e-05
"26",3.27031771407236e-05,4.63230097819784e-05
"27",3.54756444271785e-05,5.02500667619546e-05
"28",5.22933621358675e-05,7.40716301565263e-05
"29",3.92522582017557e-05,5.55994679621979e-05
"30",2.88791899691019e-05,4.09065088320524e-05
"31",2.02384796819129e-05,2.86674180238166e-05
"32",3.28573237112262e-05,4.65413535192475e-05
"33",2.89857389759653e-05,4.10574323134658e-05
"34",3.26954476752773e-05,4.63120612388864e-05
"35",5.19895822262817e-05,7.36413371023097e-05
"36",3.63440810255389e-05,5.1480178351069e-05
"37",3.62770004451679e-05,5.13851609456837e-05
"38",3.2713762310804e-05,4.63380033402768e-05
"39",2.11645624470331e-05,2.99791962287326e-05
"40",2.39238679818387e-05,3.38875893231039e-05
"41",3.55059230835388e-05,5.02929554736175e-05
"42",3.58099442551058e-05,5.07235913728101e-05
"43",2.59331599000759e-05,3.67336139892858e-05
"44",2.64227153160652e-05,3.74270557733537e-05
"45",3.99494773460952e-05,5.65870550858749e-05
"46",4.00095489943729e-05,5.66721444891823e-05
"47",2.90664094687887e-05,4.11716996537542e-05
"48",2.39057749047558e-05,3.38619609144429e-05
"49",3.28886544977385e-05,4.65857325865851e-05
"50",2.3519233533022e-05,3.33144343537993e-05
"51",2.89491125748472e-05,4.10055521117523e-05
"52",3.97002028976584e-05,5.62339663741387e-05
"53",2.91478500690986e-05,4.12870578282672e-05
"54",4.76212123983779e-05,6.74537240182148e-05
"55",1.85834941038346e-05,2.63232723687114e-05
"56",1.53591954762197e-05,2.17562128822793e-05
"57",3.61888207846602e-05,5.12602091258907e-05
"58",4.73384921359698e-05,6.70532611161528e-05
"59",2.63779630870629e-05,3.73636654718248e-05
"60",3.29627531173776e-05,4.66906909358654e-05
"61",1.18304993526659e-05,1.67581102222839e-05
"62",3.2646884513924e-05,4.62432730583666e-05
"63",2.59588386734355e-05,3.67699872656935e-05
"64",3.24201016718274e-05,4.59220423435245e-05
"65",4.30941380259566e-05,6.10413171786238e-05
"66",2.966380015772e-05,4.20178856971159e-05
"67",5.72617465686741e-05,8.1109141205132e-05
"68",1.84681970854017e-05,2.61599556862382e-05
"69",2.97810458317143e-05,4.21839606875888e-05
"70",1.35962586984331e-05,1.92591600914856e-05
"71",2.6697243818109e-05,3.78159178379052e-05
"72",4.00173840821057e-05,5.66832423728057e-05
"73",2.62363413176682e-05,3.71630621303716e-05
"74",4.37258945938292e-05,6.19361777484571e-05
"75",4.80215499881616e-05,6.80207903474156e-05
"76",2.93185201836642e-05,4.15288069409397e-05
"77",3.64351352718121e-05,5.16091536550835e-05
"78",3.25113265999048e-05,4.6051259565368e-05
"79",3.2261316604032e-05,4.56971283237143e-05
"80",3.96260681736016e-05,5.61289570724629e-05
"81",3.95569620014381e-05,5.60310703787093e-05
"82",3.29631564819844e-05,4.66912622890636e-05
"83",2.08920934879412e-05,2.95932492760031e-05
"84",5.24611271302862e-05,7.43092630915163e-05
"85",2.62944900343605e-05,3.72454281883977e-05
"86",2.91760816761053e-05,4.13270470552073e-05
"87",2.28680232145698e-05,3.23920105860362e-05
"88",3.59806077110601e-05,5.09652826144459e-05
"89",2.90474610918367e-05,4.11448598445336e-05
"90",2.94013124126191e-05,4.16460796570012e-05
"91",3.94697309951004e-05,5.59075106683552e-05
"92",2.07865682553554e-05,2.94437748420352e-05
"93",2.0954341714069e-05,2.96814226729492e-05
"94",2.59215894366129e-05,3.67172247337012e-05
"95",1.80289987118666e-05,2.55378370461802e-05
"96",2.64164758315571e-05,3.74182177151591e-05
"97",4.80940023667332e-05,6.81234165126414e-05
"98",3.957223054025e-05,5.60526977370862e-05
"99",4.79293039551059e-05,6.78901243837683e-05
"100",3.92360567895358e-05,5.55765192210109e-05
"101",3.97275581936754e-05,5.62727142152659e-05
"102",3.23719575350424e-05,4.58538476984205e-05
"103",4.36509527714144e-05,6.18300253396429e-05
"104",2.97653589953525e-05,4.21617407530655e-05
"105",3.98391243232438e-05,5.64307438199503e-05
"106",1.61511781621694e-05,2.28780536811277e-05
"107",2.58627116103141e-05,3.66338258784315e-05
"108",2.34174375195021e-05,3.31702427473255e-05
"109",2.89979526373798e-05,4.10747325995575e-05
"110",1.76731150369702e-05,2.50337325285138e-05
"111",3.97778027242164e-05,5.63438838737404e-05
"112",3.91958619011095e-05,5.55195845489956e-05
"113",1.85861097947584e-05,2.6326977459841e-05
"114",3.98265004173366e-05,5.64128624893754e-05
"115",3.56535314987063e-05,5.05020378943293e-05
"116",3.62722887548973e-05,5.13784393429911e-05
"117",3.60331698927446e-05,5.10397350981954e-05
"118",3.58966687084968e-05,5.08464336831581e-05
"119",2.66346074850808e-05,3.77271952040852e-05
"120",3.55502179668394e-05,5.03556977055295e-05
"121",3.93466854315148e-05,5.57332208739932e-05
"122",2.02964022358553e-05,2.87494641995602e-05
"123",3.56781520689767e-05,5.0536912114976e-05
"124",3.55579009792846e-05,5.03665804376407e-05
"125",3.28487968385029e-05,4.65292754739527e-05
"126",2.58771624651934e-05,3.66542951170021e-05
"127",3.27610145439267e-05,4.64049346325585e-05
"128",3.26415181910508e-05,4.62356718319219e-05
"129",3.99266504859181e-05,5.65547216311349e-05
"130",3.60473516759504e-05,5.10598230958188e-05
"131",3.2310127247069e-05,4.57662670536709e-05
"132",3.96239978840522e-05,5.61260245780908e-05
"133",2.65085181441701e-05,3.75485931292477e-05
"134",5.2444805212593e-05,7.42861436963548e-05
"135",2.92668496853617e-05,4.1455617225519e-05
"136",5.2501675559284e-05,7.4366698447475e-05
"137",3.59699139215256e-05,5.09501352372235e-05
"138",3.94219575929028e-05,5.58398412927989e-05
"139",3.98310421974488e-05,5.64192957654341e-05
"140",3.27057308106239e-05,4.63266269745442e-05
"141",6.18636082698004e-05,8.76274885139283e-05
"142",2.08973983713548e-05,2.96007635398239e-05
"143",5.68148564764469e-05,8.04761380409129e-05
"144",3.92023181424944e-05,5.55287295920584e-05
"145",4.75770655512939e-05,6.73911916314634e-05
"146",4.3119764992243e-05,6.10776168595203e-05
"147",1.3913802324029e-05,1.97089620299452e-05
"148",3.24561574376812e-05,4.5973114194067e-05
"149",4.81244998106596e-05,6.8166615035284e-05
"150",5.67352647607172e-05,8.03633993406198e-05
"151",2.87646905490284e-05,4.07443238281241e-05
"152",3.25775914544215e-05,4.61451216335606e-05
"153",3.60267836753356e-05,5.10306892456124e-05
"154",4.37106213912751e-05,6.19145438037782e-05
"155",5.23467030076574e-05,7.4147185536698e-05
"156",4.74422978411692e-05,6.72002981013329e-05
"157",2.30974678291047e-05,3.27170133700339e-05
"158",3.97305063495213e-05,5.62768901771709e-05
"159",5.20137585089825e-05,7.36755819164747e-05
"160",1.57779909812883e-05,2.23494360832489e-05
"161",2.88538590870235e-05,4.08706283952187e-05
"162",3.57601084881905e-05,5.06530006628294e-05
"163",2.28849561179197e-05,3.24159956368486e-05
"164",2.3500681485077e-05,3.32881558238009e-05
"165",3.97238765203257e-05,5.62674992509063e-05
"166",1.34697110254904e-05,1.90799047577079e-05
"167",3.58155716059103e-05,5.07315623284793e-05
"168",5.21443754076327e-05,7.38605959432316e-05
"169",3.29931099327946e-05,4.67336904040654e-05
"170",2.96014846214298e-05,4.19296176037754e-05
"171",1.30773983099695e-05,1.85241920754569e-05
"172",3.21523341253165e-05,4.55427580944785e-05
"173",2.6758994613055e-05,3.7903386139914e-05
"174",3.27728834325887e-05,4.64217465376075e-05
"175",3.60795503868434e-05,5.11054314383844e-05
"176",3.26317937028094e-05,4.62218974022208e-05
"177",2.38410237377992e-05,3.37702424432634e-05
"178",1.39575068576839e-05,1.97708696935652e-05
"179",2.29984190507264e-05,3.25767131552747e-05
"180",2.07864238198501e-05,2.94435702519568e-05
"181",4.79507027027958e-05,6.79204349230559e-05
"182",2.31555115307779e-05,3.27992308787644e-05
"183",2.95601299919394e-05,4.18710400079901e-05
"184",5.22821490689135e-05,7.40557472601899e-05
"185",2.65440481439376e-05,3.75989203966607e-05
"186",3.54859181283394e-05,5.02646191186204e-05
"187",1.84716414307356e-05,2.61648345553156e-05
"188",4.31714360789563e-05,6.11508071051632e-05
"189",3.6393135983945e-05,5.15496630640782e-05
"190",4.37001190033368e-05,6.1899667547216e-05
"191",3.55494358815646e-05,5.03545899076972e-05
"192",2.89353745656992e-05,4.09860926326886e-05
"193",4.00868325746478e-05,5.67816119422216e-05
"194",2.36949445927065e-05,3.35633248461272e-05
"195",4.78764237199251e-05,6.78152214748541e-05
"196",4.7351408480018e-05,6.70715566451593e-05
"197",1.85547637967902e-05,2.6282576273824e-05
"198",4.39863965523487e-05,6.23051694361614e-05
"199",2.89002644575484e-05,4.09363602146129e-05
"200",3.62340900037772e-05,5.13243321507849e-05
"201",2.89093408198979e-05,4.09492166104129e-05
"202",1.76477580785348e-05,2.49978147307169e-05
"203",1.80299011302406e-05,2.55391153098178e-05
"204",3.60693249270676e-05,5.10909474339325e-05
"205",6.76777428138848e-05,9.58629764799412e-05
"206",1.14671010762535e-05,1.62433501782712e-05
"207",2.60390977022928e-05,3.68836719732153e-05
"208",2.64750722916526e-05,3.75012179990695e-05
"209",3.25602382460788e-05,4.6120541363408e-05
"210",2.65809632041218e-05,3.76512095620723e-05
"211",3.55054110877386e-05,5.02922302485616e-05
"212",2.88694544123498e-05,4.08927187070973e-05
"213",3.62963395763029e-05,5.1412554180084e-05
"214",5.19670532184689e-05,7.36094255923493e-05
"215",2.31413507690723e-05,3.27791725000732e-05
"216",1.82737922623017e-05,2.58845838515322e-05
"217",3.59957816600995e-05,5.09867759802045e-05
"218",4.80204619930042e-05,6.80192492417533e-05
"219",2.61263916692973e-05,3.70073214770558e-05
"220",3.26651430490802e-05,4.62691356953314e-05
"221",5.70349094319615e-05,8.07878348538073e-05
"222",3.25078576072815e-05,4.60463458471638e-05
"223",3.97600564639941e-05,5.6318746903361e-05
"224",3.61025530465478e-05,5.11380138975011e-05
"225",4.77100615272118e-05,6.75795755440842e-05
"226",1.60212125846358e-05,2.26939581322511e-05
"227",3.60700665378143e-05,5.10919978994956e-05
"228",5.66196832885898e-05,8.0199682490804e-05
"229",2.96359134990458e-05,4.19783850791746e-05
"230",2.94146002155071e-05,4.16649014323638e-05
"231",4.38914242599491e-05,6.21706445909384e-05
"232",8.00934108966308e-05,0.000113449277040185
"233",3.97932715944757e-05,5.63657949991037e-05
"234",2.63752568770279e-05,3.73598321997399e-05
"235",3.27151239840517e-05,4.63399321073227e-05
"236",3.28421864443168e-05,4.65199120598412e-05
"237",2.64084826870599e-05,3.74068956458218e-05
"238",4.78068763274467e-05,6.77167101501064e-05
"239",2.11757721443277e-05,2.99950745452963e-05
"240",3.25330989406472e-05,4.60820993966097e-05
"241",2.58962886018077e-05,3.66813867660151e-05
"242",2.29739955090808e-05,3.254211779532e-05
"243",2.95482324076782e-05,4.18541874357324e-05
"244",4.35459755684987e-05,6.16813288891794e-05
"245",2.09453428536356e-05,2.9668675962908e-05
"246",6.21400728987429e-05,8.8019090268321e-05
"247",3.94773313006453e-05,5.59182762388811e-05
"248",3.581774594673e-05,5.07346422100944e-05
"249",3.55114567766894e-05,5.03007937662821e-05
"250",2.30235701044758e-05,3.2612339018633e-05
"251",3.20460439701623e-05,4.53922014565888e-05
"252",2.89172172740377e-05,4.09603733721225e-05
"253",3.27480702031535e-05,4.63865993836453e-05
"254",3.57906726641481e-05,5.06962938037593e-05
"255",2.59381851555052e-05,3.67407321254292e-05
"256",2.10040127236399e-05,2.97517806874483e-05
"257",6.80437923911347e-05,9.6381471845689e-05
"258",2.6367588694046e-05,3.73489704294458e-05
"259",2.90310379832985e-05,4.11215970024924e-05
"260",3.63772210188695e-05,5.15271200466707e-05
"261",2.32730086093353e-05,3.2965662667083e-05
"262",3.62606757360781e-05,5.13619899088591e-05
"263",3.59141634062892e-05,5.08712143420597e-05
"264",2.36016178746843e-05,3.34311297934979e-05
"265",1.63219308500824e-05,2.31199239444972e-05
"266",2.93912903485531e-05,4.16318837030042e-05
"267",3.63672833262314e-05,5.15130436363866e-05
"268",4.7815436869126e-05,6.77288358427122e-05
"269",3.60697389324097e-05,5.10915338579518e-05
"270",4.37443538106261e-05,6.19623245682495e-05
"271",3.58287585077334e-05,5.07502411373035e-05
"272",2.89622063596901e-05,4.10240990663563e-05
"273",4.34577512523904e-05,6.15563623029496e-05
"274",1.08736418025162e-05,1.5402704738855e-05
"275",2.9771987516982e-05,4.21711298556988e-05
"276",2.1059919112068e-05,2.98309709934351e-05
"277",6.76900128891903e-05,9.58803565770754e-05
"278",2.57754946278391e-05,3.65102854209461e-05
"279",5.17881017257433e-05,7.33559473921229e-05
"280",2.33835306425281e-05,3.31222144710011e-05
"281",2.89490272397208e-05,4.10054312370981e-05
"282",3.63199368439805e-05,5.14459789229287e-05
"283",2.03656173814307e-05,2.88475061116828e-05
"284",3.99895056254371e-05,5.66437537533182e-05
"285",3.95966002062481e-05,5.60872165281001e-05
"286",4.3939753775174e-05,6.22391016155615e-05
"287",3.98831514046006e-05,5.64931066732495e-05
"288",2.32937203026885e-05,3.29950002829867e-05
"289",2.8823355287538e-05,4.08274206755967e-05
"290",2.30789548289967e-05,3.26907901502018e-05
"291",3.6263543628315e-05,5.13660521776976e-05
"292",2.90252885406776e-05,4.11134530889816e-05
"293",2.94787840308037e-05,4.17558158870406e-05
"294",5.21500880660507e-05,7.38686877134922e-05
"295",1.61109301166964e-05,2.28210425397144e-05
"296",3.20522682481648e-05,4.5401017949209e-05
"297",2.39156871645757e-05,3.38760013921499e-05
"298",2.32583323278747e-05,3.29448740670806e-05
"299",3.26846640745644e-05,4.62967866098853e-05
"300",3.59860429294276e-05,5.09729814103291e-05
"301",2.34753267732e-05,3.32522414838399e-05
"302",4.73491070280249e-05,6.70682967225733e-05
"303",1.53938437609511e-05,2.18052919801788e-05
"304",3.62424231448012e-05,5.13361357530113e-05
"305",1.77787314023699e-05,2.51833367177268e-05
"306",1.83009907532379e-05,2.59231101510592e-05
"307",3.22315365780404e-05,4.5654945860106e-05
"308",2.63865403231826e-05,3.73758148908852e-05
"309",4.4013773992845e-05,6.23439485984454e-05
"310",2.92103588747051e-05,4.137559968182e-05
"311",2.29393483318732e-05,3.24930409011984e-05
"312",3.21757065722399e-05,4.55758644252303e-05
"313",3.9170122517396e-05,5.54831256004612e-05
"314",3.98430084737006e-05,5.64362455861019e-05
"315",3.26357952619184e-05,4.62275654840026e-05
"316",2.28457549105515e-05,3.23604699526212e-05
"317",3.92720989034486e-05,5.56275716313185e-05
"318",3.29169807570464e-05,4.66258558362675e-05
"319",4.81490661630948e-05,6.82014123820358e-05
"320",2.66341888801245e-05,3.77266022617297e-05
"321",2.04256067237622e-05,2.89324798514897e-05
"322",1.83556005964474e-05,2.60004642648815e-05
"323",2.37487147326454e-05,3.36394889567113e-05
"324",5.74628572612789e-05,8.13940070057552e-05
"325",2.66754172930275e-05,3.7785001169509e-05
"326",2.67618664161815e-05,3.79074539707276e-05
"327",3.61434828365492e-05,5.11959895075273e-05
"328",2.97243280437949e-05,4.2103621637393e-05
"329",4.34978501373058e-05,6.16131609383307e-05
"330",2.59961004507655e-05,3.68227675487216e-05
"331",3.60567277139349e-05,5.10731039241766e-05
"332",5.26037324893009e-05,7.4511258329077e-05
"333",3.61895714194192e-05,5.12612723737804e-05
"334",2.02171018633193e-05,2.86371367576721e-05
"335",3.60804773441228e-05,5.11067444407969e-05
"336",2.58051834983193e-05,3.65523388896468e-05
"337",2.32887454625863e-05,3.2987953541535e-05
"338",3.25001934793976e-05,4.60354898527044e-05
"339",3.61399393438038e-05,5.11909702739325e-05
"340",3.94267152450473e-05,5.58465803428718e-05
"341",2.5780579849128e-05,3.65174884970782e-05
"342",4.74031816401938e-05,6.71448914331976e-05
"343",2.94718929899743e-05,4.17460549338117e-05
"344",3.59314698110332e-05,5.08957282901149e-05
"345",6.76133220043299e-05,9.57717268420534e-05
"346",5.20935510145589e-05,7.37886050621889e-05
"347",2.33968668497327e-05,3.31411048879902e-05
"348",3.55982811031062e-05,5.04237775427474e-05
"349",2.37877505019827e-05,3.36947821855187e-05
"350",1.57103389167741e-05,2.22536073120599e-05
"351",1.84385179727642e-05,2.61179156202133e-05
"352",2.60030462655995e-05,3.68326061044472e-05
"353",2.90127303121868e-05,4.10956647339319e-05
"354",3.56035055460281e-05,5.04311777927412e-05
"355",1.8061891044176e-05,2.55844285977832e-05
"356",2.62865776981189e-05,3.72342205817148e-05
